iter	RMSE
0	127.5090814
1	127.4665631
2	127.4235689
3	127.3810449
4	127.3403028
5	127.2971649
6	127.2494898
7	127.2030682
8	127.1551367
9	127.1088413
10	127.0623513
11	127.0160733
12	126.9703887
13	126.9225236
14	126.8767414
15	126.8290974
16	126.7814479
17	126.7361578
18	126.6906128
19	126.646308
20	126.6043949
21	126.5607704
22	126.5146723
23	126.468737
24	126.4238481
25	126.3800246
26	126.3335415
27	126.288044
28	126.2421381
29	126.1960528
30	126.1510827
31	126.1050529
32	126.0594898
33	126.014523
34	125.9689015
35	125.9228781
36	125.8769567
37	125.8304288
38	125.7855764
39	125.7423149
40	125.6978254
41	125.6546894
42	125.6100577
43	125.568798
44	125.5239006
45	125.4795537
46	125.4361287
47	125.3908955
48	125.3463911
49	125.3018261
50	125.2573678
51	125.2153902
52	125.1709498
53	125.127014
54	125.0833308
55	125.0393876
56	124.9964136
57	124.9528728
58	124.9097992
59	124.8655192
60	124.8217665
61	124.7783188
62	124.7346358
63	124.6919315
64	124.6492938
65	124.6064599
66	124.5642291
67	124.5208075
68	124.4793728
69	124.4368305
70	124.3939566
71	124.351764
72	124.3091531
73	124.2647156
74	124.2230695
75	124.1811596
76	124.1373641
77	124.0951849
78	124.0529484
79	124.0112208
80	123.968452
81	123.9261993
82	123.8847328
83	123.8434191
84	123.8016632
85	123.7591818
86	123.7179294
87	123.680199
88	123.6374097
89	123.5968772
90	123.5551415
91	123.5140418
92	123.4725148
93	123.4302885
94	123.38871
95	123.3472948
96	123.3060683
97	123.2662782
98	123.2245971
99	123.1835937
100	123.1427707
101	123.1015582
102	123.0623792
103	123.0207251
104	122.9789772
105	122.9403823
106	122.9001513
107	122.8596681
108	122.8185148
109	122.7794675
110	122.7386294
111	122.6978979
112	122.6581997
113	122.6166869
114	122.5767292
115	122.5359376
116	122.4966365
117	122.4564568
118	122.4173786
119	122.3772405
120	122.339808
121	122.3007217
122	122.261784
123	122.221391
124	122.1830257
125	122.1438576
126	122.1053861
127	122.0657408
128	122.0260957
129	121.9875594
130	121.9476367
131	121.907532
132	121.868976
133	121.8315884
134	121.7914589
135	121.7544785
136	121.7142741
137	121.6752944
138	121.6368549
139	121.5983023
140	121.5597505
141	121.5201835
142	121.4819989
143	121.4426931
144	121.4048815
145	121.3663944
146	121.3284647
147	121.2947075
148	121.2570375
149	121.2185837
150	121.181326
151	121.1449862
152	121.1082934
153	121.0699947
154	121.0326689
155	120.9955924
156	120.958613
157	120.9208231
158	120.88336
159	120.8458557
160	120.8089231
161	120.7717142
162	120.7333092
163	120.6954422
164	120.657391
165	120.6192865
166	120.5820217
167	120.5441947
168	120.5065596
169	120.4684897
170	120.4307378
171	120.3933494
172	120.3558361
173	120.3196889
174	120.2828183
175	120.2461345
176	120.2089057
177	120.1726599
178	120.1360243
179	120.0984635
180	120.0634264
181	120.0271014
182	119.9924125
183	119.9561958
184	119.9200692
185	119.8843168
186	119.8477313
187	119.8128512
188	119.7761178
189	119.7401706
190	119.7062675
191	119.669723
192	119.633422
193	119.5977589
194	119.5620337
195	119.5255117
196	119.4895003
197	119.4536132
198	119.4199165
199	119.3848671
200	119.3501789
201	119.3145742
202	119.2794154
203	119.2445409
204	119.2106779
205	119.1769381
206	119.1434151
207	119.1087403
208	119.0745136
209	119.0403854
210	119.0057578
211	118.9713596
212	118.9369839
213	118.9010452
214	118.8663973
215	118.8312236
216	118.7960441
217	118.7635997
218	118.7286662
219	118.6947032
220	118.6603014
221	118.6254167
222	118.5920185
223	118.5574275
224	118.5228046
225	118.4901639
226	118.4567853
227	118.4232957
228	118.3913427
229	118.3586665
230	118.3245059
231	118.2908591
232	118.2583421
233	118.2243295
234	118.1905191
235	118.1572955
236	118.1242744
237	118.0906839
238	118.0568113
239	118.0236966
240	117.9899315
241	117.9573412
242	117.9236816
243	117.8921462
244	117.8589467
245	117.8263602
246	117.7937042
247	117.760001
248	117.7269455
249	117.6938548
250	117.6614553
251	117.6290312
252	117.5965464
253	117.5645054
254	117.5317535
255	117.5000366
256	117.4681398
257	117.4350155
258	117.4033433
259	117.3707409
260	117.3379021
261	117.3052159
262	117.2730288
263	117.2408991
264	117.2099451
265	117.1775332
266	117.1453847
267	117.1137584
268	117.0819829
269	117.0492034
270	117.0178439
271	116.9861071
272	116.9549315
273	116.9230476
274	116.8904496
