iter	Passed	Remaining
0	3	18341
1	7	17541
2	9	16040
3	11	14840
4	13	13640
5	15	13218
6	18	13404
7	21	13149
8	23	12816
9	25	12703
10	27	12493
11	29	12286
12	31	12253
13	34	12198
14	36	12061
15	38	11911
16	40	11753
17	42	11682
18	44	11579
19	46	11544
20	48	11529
21	50	11438
22	52	11400
23	55	11414
24	56	11313
25	58	11201
26	60	11119
27	62	11037
28	64	10996
29	66	10972
30	68	10901
31	70	10902
32	72	10860
33	74	10844
34	76	10826
35	78	10799
36	80	10777
37	82	10751
38	84	10736
39	87	10821
40	89	10863
41	92	10946
42	96	11095
43	98	11126
44	101	11229
45	105	11353
46	107	11317
47	109	11273
48	111	11245
49	113	11215
50	115	11174
51	116	11129
52	118	11100
53	121	11112
54	123	11082
55	125	11066
56	127	11037
57	130	11105
58	132	11079
59	134	11053
60	135	11010
61	137	10987
62	139	10963
63	142	10956
64	144	10933
65	146	10915
66	147	10894
67	149	10873
68	151	10852
69	154	10884
70	157	10903
71	158	10881
72	160	10865
73	162	10844
74	164	10821
75	166	10807
76	168	10795
77	171	10795
78	173	10782
79	175	10772
80	177	10758
81	179	10736
82	181	10761
83	183	10742
84	185	10721
85	187	10717
86	189	10710
87	191	10709
88	193	10703
89	196	10738
90	198	10729
91	200	10706
92	202	10691
93	204	10684
94	206	10677
95	208	10664
96	210	10664
97	213	10691
98	215	10680
99	217	10672
100	219	10665
101	221	10655
102	223	10635
103	226	10648
104	228	10643
105	230	10638
106	232	10627
107	234	10613
108	236	10619
109	239	10637
110	241	10647
111	243	10633
112	246	10663
113	249	10672
114	251	10674
115	253	10661
116	256	10692
117	258	10683
118	260	10669
119	262	10664
120	264	10665
121	266	10646
122	268	10637
123	271	10658
124	273	10654
125	275	10642
126	277	10629
127	279	10627
128	281	10641
129	284	10651
130	286	10640
131	288	10641
132	290	10630
133	292	10631
134	295	10649
135	297	10639
136	299	10633
137	302	10645
138	304	10645
139	306	10637
140	309	10649
141	311	10659
142	313	10649
143	315	10643
144	317	10630
145	319	10624
146	321	10615
147	323	10605
148	325	10593
149	327	10590
150	329	10576
151	331	10580
152	333	10573
153	335	10562
154	337	10554
155	339	10548
156	341	10539
157	343	10531
158	345	10522
159	347	10511
160	349	10501
161	351	10491
162	353	10484
163	355	10478
164	357	10465
165	358	10453
166	360	10442
167	362	10433
168	364	10423
169	366	10414
170	368	10408
171	370	10400
172	372	10392
173	374	10378
174	376	10373
175	378	10386
176	381	10383
177	382	10372
178	384	10361
179	386	10361
180	389	10358
181	391	10370
182	393	10367
183	395	10363
184	397	10351
185	399	10345
186	401	10335
187	403	10327
188	405	10321
189	408	10330
190	410	10325
191	412	10341
192	414	10336
193	417	10330
194	419	10325
195	420	10318
196	422	10310
197	424	10301
198	426	10296
199	428	10285
200	430	10276
201	432	10267
202	434	10262
203	436	10264
204	438	10261
205	440	10252
206	442	10246
207	444	10241
208	446	10233
209	448	10228
210	450	10218
211	451	10208
212	453	10200
213	456	10211
214	458	10205
215	460	10200
216	462	10192
217	464	10190
218	467	10195
219	469	10191
220	470	10184
221	472	10178
222	474	10171
223	476	10163
224	478	10156
225	480	10146
226	483	10159
227	485	10159
228	487	10154
229	489	10147
230	492	10158
231	493	10148
232	495	10145
233	497	10137
234	499	10130
235	501	10122
236	503	10124
237	505	10121
238	508	10125
239	510	10119
240	512	10116
241	514	10108
242	515	10100
243	517	10096
244	519	10090
245	521	10083
246	523	10080
247	525	10072
248	527	10064
249	529	10058
250	531	10054
251	533	10046
252	535	10040
253	537	10033
254	538	10027
255	540	10024
256	542	10018
257	545	10022
258	547	10023
259	549	10022
260	551	10019
261	553	10013
262	555	10007
263	557	10001
264	559	9997
265	561	9991
266	563	9984
267	565	9981
268	567	9975
269	569	9971
270	571	9964
271	573	9972
272	576	9974
273	577	9969
274	579	9965
275	582	9972
276	584	9973
277	586	9968
278	588	9962
279	590	9959
280	592	9958
281	594	9952
282	597	9960
283	599	9959
284	601	9954
285	603	9948
286	605	9944
287	607	9942
288	609	9935
289	611	9930
290	613	9934
291	615	9929
292	617	9922
293	619	9917
294	622	9924
295	625	9935
296	627	9929
297	629	9926
298	631	9931
299	633	9928
300	635	9921
301	637	9916
302	640	9932
303	642	9927
304	644	9923
305	646	9924
306	649	9921
307	650	9915
308	652	9912
309	654	9907
310	656	9900
311	658	9895
312	660	9890
313	662	9885
314	664	9879
315	666	9874
316	668	9869
317	669	9862
318	671	9858
319	673	9853
320	675	9846
321	677	9840
322	679	9835
323	681	9831
324	683	9825
325	684	9819
326	686	9814
327	688	9810
328	690	9808
329	692	9804
330	694	9797
331	696	9794
332	698	9788
333	700	9781
334	702	9786
335	704	9783
336	706	9780
337	708	9775
338	710	9768
339	712	9766
340	714	9762
341	716	9757
342	718	9754
343	720	9750
344	722	9746
345	724	9742
346	726	9739
347	728	9735
348	730	9740
349	732	9733
350	734	9730
351	736	9725
352	738	9721
353	740	9715
354	742	9710
355	744	9714
356	746	9710
357	748	9705
358	750	9703
359	752	9698
360	754	9693
361	756	9689
362	758	9685
363	760	9684
364	762	9682
365	764	9678
366	766	9674
367	768	9673
368	770	9667
369	772	9665
370	774	9662
371	776	9656
372	778	9652
373	780	9649
374	782	9646
375	784	9643
376	786	9639
377	788	9644
378	790	9640
379	792	9638
380	794	9635
381	797	9639
382	799	9636
383	801	9633
384	803	9630
385	805	9626
386	807	9621
387	809	9618
388	811	9614
389	812	9609
390	815	9611
391	817	9607
392	819	9606
393	821	9603
394	823	9599
395	825	9595
396	827	9598
397	830	9601
398	832	9599
399	834	9595
400	836	9597
401	838	9594
402	840	9592
403	842	9588
404	844	9584
405	846	9579
406	848	9574
407	850	9568
408	852	9564
409	853	9560
410	855	9556
411	857	9552
412	859	9548
413	861	9545
414	863	9540
415	865	9537
416	867	9533
417	869	9530
418	871	9527
419	873	9523
420	875	9521
421	877	9519
422	879	9515
423	881	9511
424	883	9507
425	885	9502
426	887	9501
427	889	9498
428	891	9493
429	893	9497
430	895	9494
431	897	9492
432	899	9487
433	901	9485
434	903	9481
435	905	9478
436	908	9481
437	909	9477
438	912	9480
439	914	9477
440	916	9477
441	919	9482
442	921	9477
443	923	9473
444	925	9477
445	927	9474
446	930	9478
447	932	9474
448	934	9471
449	936	9466
450	938	9461
451	939	9456
452	941	9454
453	943	9452
454	945	9447
455	947	9444
456	950	9446
457	952	9448
458	954	9445
459	956	9441
460	959	9443
461	961	9443
462	963	9438
463	965	9434
464	967	9432
465	969	9428
466	971	9425
467	972	9420
468	975	9425
469	977	9422
470	979	9421
471	981	9419
472	984	9423
473	986	9422
474	989	9423
475	992	9428
476	994	9431
477	996	9430
478	1005	9492
479	1011	9524
480	1018	9568
481	1022	9585
482	1026	9602
483	1029	9606
484	1032	9615
485	1034	9612
486	1037	9611
487	1039	9610
488	1041	9608
489	1043	9606
490	1045	9603
491	1047	9600
492	1049	9598
493	1052	9595
494	1054	9593
495	1056	9589
496	1058	9592
497	1061	9593
498	1063	9595
499	1066	9602
500	1069	9606
501	1072	9612
502	1076	9622
503	1079	9633
504	1082	9638
505	1085	9639
506	1088	9650
507	1094	9680
508	1099	9701
509	1114	9807
510	1116	9810
511	1120	9824
512	1123	9824
513	1125	9821
514	1127	9818
515	1129	9814
516	1131	9808
517	1133	9805
518	1134	9799
519	1136	9793
520	1139	9794
521	1141	9790
522	1143	9786
523	1145	9782
524	1148	9785
525	1149	9781
526	1152	9779
527	1154	9775
528	1156	9773
529	1158	9772
530	1161	9776
531	1164	9783
532	1167	9785
533	1169	9781
534	1171	9779
535	1174	9783
536	1176	9779
537	1178	9774
