Iteration 1, loss = 21465.12800272
Iteration 2, loss = 21390.44343767
Iteration 3, loss = 21274.16066069
Iteration 4, loss = 21111.36887028
Iteration 5, loss = 20875.13624483
Iteration 6, loss = 20533.46046803
Iteration 7, loss = 20057.07602436
Iteration 8, loss = 19438.88523990
Iteration 9, loss = 18681.69402700
Iteration 10, loss = 17803.01186730
Iteration 11, loss = 16832.67685289
Iteration 12, loss = 15804.58323937
Iteration 13, loss = 14758.58170334
Iteration 14, loss = 13733.69597491
Iteration 15, loss = 12774.56675160
Iteration 16, loss = 11915.63992073
Iteration 17, loss = 11182.06471643
Iteration 18, loss = 10585.97575077
Iteration 19, loss = 10122.18780855
Iteration 20, loss = 9779.88583952
Iteration 21, loss = 9534.64278897
Iteration 22, loss = 9364.19541995
Iteration 23, loss = 9244.88708513
Iteration 24, loss = 9159.85702205
Iteration 25, loss = 9094.08609622
Iteration 26, loss = 9040.27136414
Iteration 27, loss = 8993.16185688
Iteration 28, loss = 8949.35112441
Iteration 29, loss = 8908.10172052
Iteration 30, loss = 8867.57787157
Iteration 31, loss = 8827.98198588
Iteration 32, loss = 8788.84150462
Iteration 33, loss = 8750.27960842
Iteration 34, loss = 8711.56794866
Iteration 35, loss = 8672.62211925
Iteration 36, loss = 8632.74407256
Iteration 37, loss = 8592.66174051
Iteration 38, loss = 8552.85435468
Iteration 39, loss = 8512.85833413
Iteration 40, loss = 8472.92290751
Iteration 41, loss = 8432.60392687
Iteration 42, loss = 8392.11978448
Iteration 43, loss = 8351.97536743
Iteration 44, loss = 8311.08236245
Iteration 45, loss = 8269.79322995
Iteration 46, loss = 8228.52180216
Iteration 47, loss = 8186.60028449
Iteration 48, loss = 8144.17168357
Iteration 49, loss = 8099.99308609
Iteration 50, loss = 8055.40363161
Iteration 51, loss = 8010.31634568
Iteration 52, loss = 7964.85708538
Iteration 53, loss = 7919.06144780
Iteration 54, loss = 7873.09619302
Iteration 55, loss = 7826.23496357
Iteration 56, loss = 7779.39827871
Iteration 57, loss = 7731.69983931
Iteration 58, loss = 7683.96120716
Iteration 59, loss = 7635.64315522
Iteration 60, loss = 7587.41436863
Iteration 61, loss = 7538.19367214
Iteration 62, loss = 7489.01478456
Iteration 63, loss = 7440.03657567
Iteration 64, loss = 7389.85894336
Iteration 65, loss = 7340.16808702
Iteration 66, loss = 7290.68131932
Iteration 67, loss = 7240.25875888
Iteration 68, loss = 7190.56009306
Iteration 69, loss = 7141.18655623
Iteration 70, loss = 7091.88132563
Iteration 71, loss = 7043.38804250
Iteration 72, loss = 6994.99727983
Iteration 73, loss = 6947.79727755
Iteration 74, loss = 6901.14048213
Iteration 75, loss = 6856.07725903
Iteration 76, loss = 6811.11888860
Iteration 77, loss = 6767.75684799
Iteration 78, loss = 6725.01912743
Iteration 79, loss = 6684.36250234
Iteration 80, loss = 6644.87608664
Iteration 81, loss = 6606.82534453
Iteration 82, loss = 6569.68771230
Iteration 83, loss = 6534.44705421
Iteration 84, loss = 6500.32824057
Iteration 85, loss = 6467.10325511
Iteration 86, loss = 6435.85717891
Iteration 87, loss = 6406.74237153
Iteration 88, loss = 6377.86741455
Iteration 89, loss = 6351.17197507
Iteration 90, loss = 6326.72129414
Iteration 91, loss = 6302.49994440
Iteration 92, loss = 6279.21714420
Iteration 93, loss = 6257.73733126
Iteration 94, loss = 6237.50956338
Iteration 95, loss = 6218.87822641
Iteration 96, loss = 6200.27461500
Iteration 97, loss = 6183.73672443
Iteration 98, loss = 6167.93592139
Iteration 99, loss = 6152.52811523
Iteration 100, loss = 6138.90410369
Iteration 101, loss = 6125.26519151
Iteration 102, loss = 6112.12954592
Iteration 103, loss = 6100.00600238
Iteration 104, loss = 6088.71384706
Iteration 105, loss = 6077.17683554
Iteration 106, loss = 6066.89248490
Iteration 107, loss = 6057.44076214
Iteration 108, loss = 6047.66697039
Iteration 109, loss = 6038.13497707
Iteration 110, loss = 6029.67573563
Iteration 111, loss = 6020.85914634
Iteration 112, loss = 6012.64192216
Iteration 113, loss = 6005.19941159
Iteration 114, loss = 5997.72091423
