Iteration 1, loss = 21447.55849879
Iteration 2, loss = 21360.24997802
Iteration 3, loss = 21246.43373404
Iteration 4, loss = 21087.44231570
Iteration 5, loss = 20862.74373879
Iteration 6, loss = 20546.95056350
Iteration 7, loss = 20115.66013765
Iteration 8, loss = 19558.16103072
Iteration 9, loss = 18881.56381711
Iteration 10, loss = 18103.26717506
Iteration 11, loss = 17242.51367753
Iteration 12, loss = 16320.04255805
Iteration 13, loss = 15358.55400685
Iteration 14, loss = 14392.79969848
Iteration 15, loss = 13457.75191518
Iteration 16, loss = 12585.07177728
Iteration 17, loss = 11800.50623799
Iteration 18, loss = 11127.46216771
Iteration 19, loss = 10575.20108336
Iteration 20, loss = 10138.89906112
Iteration 21, loss = 9810.07054418
Iteration 22, loss = 9570.09602288
Iteration 23, loss = 9399.41117218
Iteration 24, loss = 9276.45947512
Iteration 25, loss = 9186.69697726
Iteration 26, loss = 9118.86547908
Iteration 27, loss = 9064.33855060
Iteration 28, loss = 9018.06979270
Iteration 29, loss = 8974.92945689
Iteration 30, loss = 8934.72856585
Iteration 31, loss = 8895.90691556
Iteration 32, loss = 8857.07574340
Iteration 33, loss = 8819.22691727
Iteration 34, loss = 8781.74659965
Iteration 35, loss = 8743.55782812
Iteration 36, loss = 8705.71723577
Iteration 37, loss = 8667.82795383
Iteration 38, loss = 8629.93497649
Iteration 39, loss = 8591.15692520
Iteration 40, loss = 8550.65549730
Iteration 41, loss = 8510.76635856
Iteration 42, loss = 8471.28632469
Iteration 43, loss = 8431.73298560
Iteration 44, loss = 8392.04760826
Iteration 45, loss = 8351.93123889
Iteration 46, loss = 8311.73639693
Iteration 47, loss = 8271.41150167
Iteration 48, loss = 8231.16704012
Iteration 49, loss = 8190.03215999
Iteration 50, loss = 8148.93921697
Iteration 51, loss = 8106.67748459
Iteration 52, loss = 8064.33135250
Iteration 53, loss = 8022.11088545
Iteration 54, loss = 7979.92663582
Iteration 55, loss = 7936.42269816
Iteration 56, loss = 7893.12539619
Iteration 57, loss = 7850.48732271
Iteration 58, loss = 7805.72204743
Iteration 59, loss = 7761.70534099
Iteration 60, loss = 7717.23906814
Iteration 61, loss = 7672.14981290
Iteration 62, loss = 7627.43114627
Iteration 63, loss = 7582.10831828
Iteration 64, loss = 7536.69309112
Iteration 65, loss = 7491.17902365
Iteration 66, loss = 7445.08974283
Iteration 67, loss = 7398.98419863
Iteration 68, loss = 7352.51476673
Iteration 69, loss = 7306.46715202
Iteration 70, loss = 7260.00977523
