Iteration 1, loss = 21419.65735283
Iteration 2, loss = 21340.67652393
Iteration 3, loss = 21212.74454585
Iteration 4, loss = 20960.73250512
Iteration 5, loss = 20552.85762739
Iteration 6, loss = 19937.11445095
Iteration 7, loss = 19020.39566294
Iteration 8, loss = 17715.23948000
Iteration 9, loss = 16021.68476434
Iteration 10, loss = 14103.19682680
Iteration 11, loss = 12261.96698545
Iteration 12, loss = 10783.52773683
Iteration 13, loss = 9839.05948129
Iteration 14, loss = 9362.92685836
Iteration 15, loss = 9147.31393458
Iteration 16, loss = 9039.22210543
Iteration 17, loss = 8963.47839344
Iteration 18, loss = 8897.30988856
Iteration 19, loss = 8832.64345824
Iteration 20, loss = 8765.68827309
Iteration 21, loss = 8695.56001193
Iteration 22, loss = 8625.79427579
Iteration 23, loss = 8556.44681900
Iteration 24, loss = 8487.97363440
Iteration 25, loss = 8420.42812719
Iteration 26, loss = 8352.37668437
Iteration 27, loss = 8284.25785678
Iteration 28, loss = 8215.51133992
Iteration 29, loss = 8145.93679461
Iteration 30, loss = 8075.57799074
Iteration 31, loss = 8004.34198849
Iteration 32, loss = 7932.22633482
Iteration 33, loss = 7858.71277477
Iteration 34, loss = 7784.85920421
Iteration 35, loss = 7709.35879430
Iteration 36, loss = 7633.36149650
Iteration 37, loss = 7556.86791067
Iteration 38, loss = 7479.36604666
Iteration 39, loss = 7400.85972781
Iteration 40, loss = 7323.50799623
Iteration 41, loss = 7244.23955465
Iteration 42, loss = 7164.55736028
Iteration 43, loss = 7085.88477475
Iteration 44, loss = 7008.18591188
Iteration 45, loss = 6930.43883979
Iteration 46, loss = 6853.69667960
Iteration 47, loss = 6778.81565056
Iteration 48, loss = 6706.60398923
Iteration 49, loss = 6635.30248068
Iteration 50, loss = 6567.90268568
Iteration 51, loss = 6501.72812943
Iteration 52, loss = 6439.99738096
Iteration 53, loss = 6381.71318097
Iteration 54, loss = 6327.22931010
Iteration 55, loss = 6276.01244513
Iteration 56, loss = 6229.69488536
Iteration 57, loss = 6187.33532418
Iteration 58, loss = 6148.99923213
Iteration 59, loss = 6113.25799675
Iteration 60, loss = 6082.07077927
Iteration 61, loss = 6052.34809981
Iteration 62, loss = 6027.87087493
Iteration 63, loss = 6005.15273212
Iteration 64, loss = 5984.27531880
Iteration 65, loss = 5966.97800500
Iteration 66, loss = 5950.20819590
Iteration 67, loss = 5934.68640502
Iteration 68, loss = 5921.66227989
Iteration 69, loss = 5908.95813102
Iteration 70, loss = 5897.68313855
Iteration 71, loss = 5886.93986132
Iteration 72, loss = 5876.46281540
Iteration 73, loss = 5867.14225747
Iteration 74, loss = 5858.97837307
Iteration 75, loss = 5850.68274533
Iteration 76, loss = 5844.61711430
Iteration 77, loss = 5833.84247888
Iteration 78, loss = 5826.29682430
Iteration 79, loss = 5818.06917717
Iteration 80, loss = 5811.39398785
Iteration 81, loss = 5803.88487003
Iteration 82, loss = 5798.33066122
Iteration 83, loss = 5791.27876357
Iteration 84, loss = 5785.00771335
Iteration 85, loss = 5778.88602549
Iteration 86, loss = 5772.05001503
Iteration 87, loss = 5768.62645251
Iteration 88, loss = 5762.32532396
Iteration 89, loss = 5755.04319403
Iteration 90, loss = 5749.36635004
Iteration 91, loss = 5744.25878591
Iteration 92, loss = 5739.09720968
Iteration 93, loss = 5735.05459058
Iteration 94, loss = 5728.59028119
Iteration 95, loss = 5723.17596234
Iteration 96, loss = 5719.18544375
Iteration 97, loss = 5714.76783721
Iteration 98, loss = 5709.65209834
Iteration 99, loss = 5703.74281747
Iteration 100, loss = 5701.35007125
Iteration 101, loss = 5696.59865789
Iteration 102, loss = 5691.76930572
Iteration 103, loss = 5688.25647912
Iteration 104, loss = 5684.54200223
Iteration 105, loss = 5680.35802915
Iteration 106, loss = 5676.61029416
Iteration 107, loss = 5671.13741498
Iteration 108, loss = 5668.59330047
Iteration 109, loss = 5665.18792916
Iteration 110, loss = 5662.42068110
Iteration 111, loss = 5657.59960596
Iteration 112, loss = 5653.92010377
Iteration 113, loss = 5650.82535673
Iteration 114, loss = 5647.65688585
Iteration 115, loss = 5643.35208319
Iteration 116, loss = 5641.05117624
Iteration 117, loss = 5636.66822526
Iteration 118, loss = 5634.58248663
Iteration 119, loss = 5631.31985373
Iteration 120, loss = 5628.10957604
